street,zip,city,Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
8056 Lennox Ave,91402,PANORAMA CITY,SingleFamily,2018,61633.0,1949,5524,832,1.0,2,460375
12637 Ralston Ave UNIT 3,91342,Sylmar,Unknown,2018,72779.0,1982,3070,1129,3.0,2,479426
7501 Linley Ln,91304,CANOGA PARK,SingleFamily,2018,772140.0,1978,11761,2564,3.0,4,947377
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7551 Mcgroarty St,91042,TUJUNGA,SingleFamily,2018,591498.0,1952,4268,1280,2.0,3,568431
4919 Murietta Ave,91423,SHERMAN OAKS,SingleFamily,2018,84851.0,1948,5998,1405,2.0,4,928531
7224 Shirley Ave UNIT 106,91335,Reseda,Condominium,NA,NA,1980,NA,1368,3.0,2,410915
3339 1/2 Primera Ave,90068,Los Angeles,Apartment,NA,NA,NA,NA,800,1.0,1,
6237 W 83rd Pl,90045,LOS ANGELES,SingleFamily,2018,842459.0,1941,6011,1340,1.0,2,1031232
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14779 Maclay St,91345,MISSION HILLS,SingleFamily,2018,242704.0,1952,7608,1450,3.0,3,548976
20761 Vanowen St APT 7,91306,Canoga Park,Condominium,NA,NA,1970,NA,NA,2.0,2,387477
1236 W 60th Pl,90044,LOS ANGELES,SingleFamily,2018,292798.0,1921,6534,1362,2.0,3,476858
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4262 Navajo Ave,91602,Toluca Lake,SingleFamily,2018,1052070.0,1934,8511,2640,4.0,3,2191795
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11611 Ayres Ave,90064,LOS ANGELES,MultiFamily2To4,2018,1005265.0,1939,5621,1775,3.0,5,1480702
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9988 Arleta Ave,91331,Arleta,SingleFamily,2018,383225.0,1941,9010,1098,2.0,3,500441
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1529 W 29th St,90007,LOS ANGELES,Apartment,2018,121934.0,1922,5535,2520,4.0,4,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14340 Addison St # 1664092,91423,Sherman Oaks,MultiFamily5Plus,NA,NA,NA,NA,850,1.0,1,
23832 Calvert St,91367,WOODLAND HILLS,SingleFamily,2018,632701.0,1961,7514,1782,2.0,4,717053
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6203 Hayes Ave,90042,LOS ANGELES,SingleFamily,2018,605169.0,1912,4457,1000,1.0,2,663218
8312 Kittyhawk Ave,90045,LOS ANGELES,Duplex,2018,461302.0,1944,6841,1612,2.0,4,926271
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4414 Cimarron St,90062,LOS ANGELES,SingleFamily,2018,198630.0,1912,5215,1060,1.0,2,571146
5701 Cantaloupe Ave,91401,VAN NUYS,SingleFamily,2018,618526.0,1939,8100,1466,2.0,3,892614
1336 Avenida De Cortez,90272,PACIFIC PALISADES,SingleFamily,2018,1969935.0,1975,8102,2635,3.0,4,2304283
444 N Windsor Blvd,90004,LOS ANGELES,SingleFamily,2018,1214857.0,1923,4957,1156,1.5,2,1389370
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15738 Chatsworth St,91344,GRANADA HILLS,SingleFamily,2018,555900.0,1956,7405,1362,3.0,4,581695
5855 Donna Ave,91356,TARZANA,SingleFamily,2018,454494.0,1949,20465,1575,2.0,3,870829
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116 Esparta Way,90402,SANTA MONICA,SingleFamily,2018,841415.0,1951,8377,2311,3.0,3,3833983
6607 S San Pedro St,90003,LOS ANGELES,SingleFamily,2018,183051.0,1926,5111,2864,1.0,3,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1133 S Dolphin St,90732,SAN PEDRO,Duplex,2018,236983.0,1928,6611,2314,2.0,4,797205
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
615 W 111th St,90044,LOS ANGELES,SingleFamily,2018,294951.0,1931,5003,1420,2.0,3,450109
5332 Goodland Ave,91607,VALLEY VILLAGE,SingleFamily,2018,104238.0,1956,6591,1717,2.0,3,981667
4376 Farmdale Ave,91604,STUDIO CITY,SingleFamily,2018,1195542.0,1936,6751,2389,3.0,4,1553103
7716 Goddard Ave,90045,LOS ANGELES,SingleFamily,2018,181462.0,1950,5582,958,1.0,2,828428
9424 S Manhattan Pl,90047,LOS ANGELES,Duplex,2018,48205.0,1944,5999,1612,2.0,4,550074
453 S Kenmore Ave APT 711,90020,Los Angeles,MultiFamily5Plus,2018,793293.0,2010,53695,644,1.0,1,
10621 Sepulveda Blvd,91345,Mission Hills,Unknown,NA,NA,NA,NA,NA,NA,NA,577860
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
